,Word,POS_tag,Named_Entity,Gazetteer_Annotation
0,U.K.,NNP,n/a,
1,MONEY,NNP,n/a,
2,MARKET,NNP,n/a,
3,GETS,NNP,n/a,
4,25,CD,n/a,
5,MLN,NNP,n/a,
6,STG,NNP,n/a,
7,LATE,NNP,n/a,
8,HELP,NNP,n/a,
9,The,DT,n/a,
10,Bank,NNP,NE,
11,of,IN,n/a,
12,England,NNP,NE,
13,said,VBD,n/a,
14,it,PRP,n/a,
15,provided,VBD,n/a,
16,about,RB,n/a,
17,25,CD,n/a,
18,mln,NNS,n/a,
19,stg,RB,n/a,
20,in,IN,n/a,
21,late,JJ,n/a,
22,help,NN,n/a,
23,to,TO,n/a,
24,the,DT,n/a,
25,money,NN,n/a,
26,market,NN,n/a,
27,",",",",n/a,
28,bringing,VBG,n/a,
29,the,DT,n/a,
30,total,JJ,n/a,
31,assistance,NN,n/a,
32,today,NN,n/a,
33,to,TO,n/a,
34,266,CD,n/a,
35,mln,NN,n/a,
36,stg,NN,n/a,
37,.,.,n/a,
38,This,DT,n/a,
39,compares,VBZ,n/a,
40,with,IN,n/a,
41,the,DT,n/a,
42,bank,NN,n/a,
43,'s,POS,n/a,
44,revised,JJ,n/a,
45,estimate,NN,n/a,
46,of,IN,n/a,
47,a,DT,n/a,
48,350,CD,n/a,
49,mln,NN,n/a,
50,stg,JJ,n/a,
51,money,NN,n/a,
52,market,NN,n/a,
53,shortfall,NN,n/a,
54,.,.,n/a,
